STATION,HTDD,year
USC00317056,3455,2011
USC00317056,2696,2012
USC00317056,,2013
USC00317056,,2014
USC00317056,,2015
USC00317079,3100,2010
USC00317079,3294,2011
USC00317079,2501,2012
USC00317079,3247,2013
USC00317079,3464,2014
USC00317079,3628,2015
USC00317079,2798,2016
USC00317079,2587,2017
USC00317079,3161,2018
USC00317079,3012,2019
USC00317079,2637,2020
USC00317079,2936,2021
USC00317097,,2010
USC00317097,,2011
USC00317097,,2012
USC00317097,,2015
USC00317097,3098,2016
USC00317097,2931,2017
USC00317097,3813,2018
USC00317097,,2019
USC00317097,3350,2020
USC00317097,3564,2021
USC00317170,2517,2010
USC00317170,2564,2011
USC00317170,2734,2013
USC00317170,2705,2014
USC00317170,2923,2015
USC00317170,2037,2016
USC00317170,2153,2017
USC00317170,2609,2018
USC00317170,,2019
USC00317170,2140,2020
USC00317170,2444,2021
USC00317202,4004,2010
USC00317202,4026,2011
USC00317202,3243,2012
USC00317202,4015,2013
USC00317202,4157,2014
USC00317202,4189,2015
USC00317202,3360,2016
USC00317202,3173,2017
USC00317202,3997,2018
USC00317202,3821,2019
USC00317202,3568,2020
USC00317202,3602,2021
USC00317319,3644,2010
USC00317319,3806,2011
USC00317319,3015,2012
USC00317319,,2013
USC00317319,3786,2014
USC00317319,3768,2015
USC00317319,2878,2016
USC00317319,2637,2017
USC00317319,3323,2018
USC00317319,3314,2019
USC00317319,3195,2020
USC00317319,3359,2021
USC00317400,,2010
USC00317400,3688,2013
USC00317400,3830,2014
USC00317400,3804,2015
USC00317400,2939,2016
USC00317400,3008,2017
USC00317400,3542,2018
USC00317400,3213,2019
USC00317400,2859,2020
USC00317400,2717,2021
USC00317516,,2010
USC00317516,,2011
USC00317516,,2012
USC00317516,4128,2013
USC00317516,4280,2014
USC00317516,4207,2015
USC00317516,3293,2016
USC00317516,3177,2017
USC00317516,,2018
USC00317516,,2019
USC00317516,,2020
USC00317516,2810,2021
USC00317615,3599,2010
USC00317615,3575,2011
USC00317615,2775,2012
USC00317615,3603,2013
USC00317615,3737,2014
USC00317615,3652,2015
USC00317615,3027,2016
USC00317615,2661,2017
USC00317615,3511,2018
USC00317615,3320,2019
USC00317615,3086,2020
USC00317615,3271,2021
USC00317618,4075,2010
USC00317618,4063,2011
USC00317618,3164,2012
USC00317618,3873,2013
USC00317618,4118,2014
USC00317618,4123,2015
USC00317618,3333,2016
USC00317618,3176,2017
USC00317618,3891,2018
USC00317618,3582,2019
USC00317618,3420,2020
USC00317618,3549,2021
USC00317656,3442,2010
USC00317656,3410,2011
USC00317656,2630,2012
USC00317656,3286,2013
USC00317656,,2014
USC00317656,3423,2015
USC00317656,2591,2016
USC00317656,2500,2017
USC00317656,3170,2018
USC00317656,2906,2019
USC00317656,2699,2020
USC00317656,3056,2021
USC00317813,2727,2010
USC00317813,,2011
USC00317813,1798,2012
USC00317813,2411,2013
USC00317813,2559,2014
USC00317813,2648,2015
USC00317813,1904,2016
