weather_station,year,HTDD
STATION,HTDD,
USC00317202,3821,
USC00317202,3568,
USC00317202,3602,
USC00317319,3644,
USC00317319,3806,
USC00317319,3015,
USC00317319,,
USC00317319,3786,
USC00317319,3768,
USC00317319,2878,
USC00317319,2637,
USC00317319,3323,
USC00317319,3314,
USC00317319,3195,
USC00317319,3359,
USC00317400,,
USC00317400,3688,
USC00317400,3830,
USC00317400,3804,
USC00317400,2939,
USC00317400,3008,
USC00317400,3542,
USC00317400,3213,
USC00317400,2859,
USC00317400,2717,
USC00317516,,
USC00317516,,
USC00317516,,
USC00317516,4128,
USC00317516,4280,
USC00317516,4207,
USC00317516,3293,
USC00317516,3177,
USC00317516,,
USC00317516,,
USC00317516,,
USC00317516,2810,
USC00317615,3599,
USC00317615,3575,
USC00317615,2775,
USC00317615,3603,
USC00317615,3737,
USC00317615,3652,
USC00317615,3027,
USC00317615,2661,
USC00317615,3511,
USC00317615,3320,
USC00317615,3086,
USC00317615,3271,
USC00317618,4075,
USC00317618,4063,
USC00317618,3164,
USC00317618,3873,
USC00317618,4118,
USC00317618,4123,
USC00317618,3333,
USC00317618,3176,
USC00317618,3891,
USC00317618,3582,
USC00317618,3420,
USC00317618,3549,
USC00317656,3442,
USC00317656,3410,
USC00317656,2630,
USC00317656,3286,
USC00317656,,
USC00317656,3423,
USC00317656,2591,
USC00317656,2500,
USC00317656,3170,
USC00317656,2906,
USC00317656,2699,
USC00317656,3056,
USC00317813,2727,
USC00317813,,
USC00317813,1798,
USC00317813,2411,
USC00317813,2559,
USC00317813,2648,
USC00317813,1904,
USC00317813,,
USC00317813,2534,
USC00317813,2171,
USC00317813,2080,
USC00317813,2281,
USC00317845,3821,
USC00317845,3743,
USC00317845,2793,
USC00317845,3629,
USC00317845,3852,
USC00317845,3726,
USC00317845,3114,
USC00317845,2962,
USC00317845,3622,
USC00317845,3476,
USC00317845,3320,
USC00317845,3469,
USC00317924,3674,
USC00317924,3569,
USC00317924,2789,
USC00317924,3827,
USC00317924,3039,
USC00317924,2886,
USC00317994,3476,
USC00317994,3696,
USC00317994,,
USC00317994,3327,
USC00317994,,
USC00317994,,
USC00317994,2554,
USC00317994,2535,
USC00317994,3277,
USC00317994,2763,
USC00318066,3064,
USC00318066,3250,
USC00318066,,
USC00318066,2462,
USC00318066,,
USC00318066,3172,
USC00318066,2809,
USC00318066,2608,
USC00318221,,
USC00318221,,
USC00318221,,
USC00318221,5110,
USC00318221,5540,
USC00318221,5200,
USC00318221,,
USC00318221,4270,
USC00318221,4913,
USC00318221,4672,
USC00318221,4737,
USC00318221,5003,
USC00318292,4437,
USC00318292,4422,
USC00318292,3587,
USC00318292,4294,
USC00318292,4465,
USC00318292,4388,
USC00318292,3711,
USC00318292,3438,
USC00318292,4125,
USC00318292,3822,
USC00318292,3669,
USC00318292,3861,
USC00318380,,
USC00318380,,
USC00318380,,
USC00318380,,
USC00318380,,
USC00318380,,
USC00318380,,
USC00318380,2226,
USC00318380,,
USC00318450,,
USC00318450,,
USC00318450,,
USC00318450,,
USC00318450,3038,
USC00318450,,
USC00318450,2183,
USC00318450,2437,
USC00318450,2903,
USC00318450,2506,
USC00318450,2285,
USC00318450,2537,
USC00318500,3494,
USC00318500,3567,
USC00318500,2678,
USC00318500,3568,
USC00318500,3688,
USC00318500,3624,
USC00318500,2750,
USC00318500,,
USC00318500,3408,
USC00318500,2977,
USC00318500,2851,
USC00318500,3089,
USC00318519,,
USC00318519,,
USC00318519,,
USC00318519,3597,
USC00318519,3998,
USC00318519,3901,
USC00318519,3258,
USC00318519,2981,
USC00318519,3788,
USC00318519,3602,
USC00318519,3312,
USC00318519,3577,
USC00318694,6051,
USC00318694,5778,
USC00318694,4974,
USC00318694,5810,
USC00318694,5909,
USC00318694,5618,
USC00318694,,
USC00318694,,
USC00318694,5464,
USC00318694,5192,
USC00318694,5148,
USC00318694,5501,
USC00318744,3453,
USC00318744,3347,
USC00318744,2425,
USC00318744,3208,
USC00318744,3536,
USC00318744,3316,
USC00318744,2742,
USC00318744,2388,
USC00318744,3283,
USC00318744,3192,
USC00318744,2976,
USC00318744,3139,
USC00318906,,
USC00318906,3246,
USC00318906,,
USC00318906,4243,
USC00318906,4062,
USC00318906,3404,
USC00318906,3187,
USC00318906,3843,
USC00318906,3626,
USC00318906,3453,
USC00318906,3619,
USC00318964,3284,
USC00318964,3276,
USC00318964,2491,
USC00318964,3125,
USC00318964,,
USC00318964,,
USC00318964,,
USC00319026,,
USC00319026,3380,
USC00319026,3156,
USC00319026,3176,
USC00319026,,
USC00319026,,
USC00319026,3005,
USC00319026,,
USC00319026,2538,
USC00319026,2633,
USC00319081,,
USC00319081,3619,
USC00319081,,
USC00319081,3591,
USC00319081,3780,
USC00319081,,
USC00319100,2985,
USC00319100,3073,
USC00319100,2170,
USC00319100,2892,
USC00319100,,
USC00319100,,
USC00319100,2490,
USC00319100,2629,
USC00319100,3355,
USC00319100,3250,
USC00319100,,
USC00319100,2520,
USC00319357,,
USC00319357,3155,
USC00319357,2332,
USC00319357,2967,
USC00319357,3126,
USC00319357,3096,
USC00319357,,
USC00319357,,
USC00319357,2932,
USC00319357,,
USC00319423,,
USC00319423,3270,
USC00319440,3132,
USC00319440,3486,
USC00319440,2473,
USC00319440,3301,
USC00319440,3396,
USC00319440,3423,
USC00319440,2429,
USC00319440,2587,
USC00319440,3223,
USC00319440,2785,
USC00319440,2678,
USC00319440,2841,
USC00319461,2708,
USC00319461,2865,
USC00319461,2000,
USC00319461,2627,
USC00319461,2718,
USC00319461,2643,
USC00319461,1982,
USC00319461,1974,
USC00319461,2581,
USC00319461,,
USC00319461,,
USC00319461,2270,
USC00319467,3008,
USC00319467,,
USC00319467,2340,
USC00319467,2614,
USC00319467,,
USC00319467,2710,
USC00319467,1961,
USC00319467,2008,
USC00319467,2618,
USC00319467,2451,
USC00319467,,
USC00319476,3234,
USC00319476,3424,
USC00319476,2630,
USC00319476,3329,
USC00319476,3255,
USC00319476,,
USC00319476,2542,
USC00319476,2562,
USC00319476,3233,
USC00319476,2934,
USC00319476,2628,
USC00319476,2937,
USC00319555,4203,
USC00319555,,
USC00319555,3255,
USC00319555,4092,
USC00319555,3987,
USC00319555,,
USC00319555,,
USC00319555,3012,
USC00319555,3853,
USC00319555,3683,
USC00319555,3500,
USC00319555,3584,
USC00319675,4325,
USC00319675,4357,
USC00319675,3513,
USC00319675,4291,
USC00319675,4442,
USC00319675,4375,
USC00319675,3699,
USC00319675,3517,
USC00319675,4228,
USC00319675,4001,
USC00319675,,
USC00319675,4086,
USC00319704,,
USC00319704,,
USC00319704,,
USC00319704,3886,
USC00319704,,
USC00319704,,
USC00319704,,
USC00319704,,
USC00319704,,
USC00319704,,
USC00319704,,
USC00319704,,
USR0000NBAC,3119,
USR0000NBAC,3537,
USR0000NBAC,2203,
USR0000NBAC,,
USR0000NBAC,2729,
USR0000NBAC,2387,
USR0000NBAC,2336,
USR0000NBAC,2582,
USR0000NBFT,2950,
USR0000NBFT,3084,
USR0000NBFT,,
USR0000NBFT,3024,
USR0000NBFT,,
USR0000NBFT,3154,
USR0000NBFT,2367,
USR0000NBFT,,
USR0000NBFT,3017,
USR0000NBFT,2695,
USR0000NBFT,2531,
USR0000NBFT,2798,
USR0000NBUS,,
USR0000NBUS,5004,
USR0000NBUS,4141,
USR0000NBUS,4852,
USR0000NBUS,5083,
USR0000NBUS,4625,
USR0000NBUS,4225,
USR0000NBUS,3763,
USR0000NBUS,4365,
USR0000NBUS,4470,
USR0000NBUS,4283,
USR0000NBUS,4537,
USR0000NCAS,3805,
USR0000NCAS,3826,
USR0000NCAS,2996,
